date,open,high,low,close,3Ema,5Ema,Reversal,transaction,IntraDayExit,tradeNo,profit
2018-11-27,26489.65,26584.95,26419.65,26457.95,26398.62,26336.55,26085.48361295434,X,-,497,0
2018-11-28,26641.6,27003.75,26577.15,26939.6,26669.11,26537.56,26150.312870041525,X,-,497,0
2018-11-29,27009.3,27012.7,26764.9,26862.95,26766.03,26646.03,26142.920477397012,X,-,497,0
2018-12-02,27032.9,27037.1,26791.65,26857.55,26811.79,26716.53,26286.01126694934,X,-,497,0
2018-12-03,26809.5,26843.8,26644.75,26693.8,26752.80,26708.96,26430.764652308557,X,-,497,0
2018-12-04,26572.1,26627.35,26443.65,26519.6,26636.20,26645.84,26577.4383387102,Sell,Sell,498,206.50
2018-12-05,26339.1,26359.9,26149.45,26198.3,26417.25,26496.66,26674.756511059037,X,-,498,0
2018-12-06,26307.4,26659.7,26252.1,26594.3,26505.77,26529.21,26734.88648333217,X,-,498,0
2018-12-09,26073.65,26336.2,26072.0,26102.65,26304.21,26387.02,26599.498726867852,X,-,498,0
2018-12-10,25602.25,26227.9,25598.95,26163.4,26233.81,26312.48,26635.44468690177,X,-,498,0
2018-12-11,26286.25,26672.7,26214.75,26643.85,26438.83,26422.94,26548.502559096116,Buy,Buy,499,-28.90
2018-12-12,26844.15,26951.45,26723.65,26816.35,26627.59,26554.07,26375.263089978223,X,-,499,0
2018-12-13,26810.85,26909.0,26732.7,26826.0,26726.79,26644.72,26333.531085275885,X,-,499,0
2018-12-16,26915.45,27051.4,26908.6,27015.8,26871.30,26768.41,26398.48190282914,X,-,499,0
2018-12-17,26917.3,27210.05,26840.8,27174.7,27023.00,26903.84,26459.751858208707,X,-,499,0
2018-12-18,27229.05,27364.35,27214.3,27298.4,27160.70,27035.36,26546.366533633758,X,-,499,0
2018-12-19,27128.65,27309.1,27084.5,27275.1,27217.90,27115.27,26659.343669836497,X,-,499,0
2018-12-20,27261.25,27369.1,26823.1,26869.65,27043.77,27033.40,26807.39543693133,X,-,499,0
2018-12-23,26877.05,26934.85,26676.95,26714.75,26879.26,26927.18,27002.271786474405,Sell,Sell,500,233.20
2018-12-25,26634.0,27029.15,26408.15,26986.8,26933.03,26947.06,27070.94360524301,X,-,500,0
2018-12-26,27200.65,27239.95,26845.1,26878.55,26905.79,26924.22,26989.126943958734,Sell,Buy,501,-485.90
2018-12-27,27048.4,27213.45,27039.6,27125.25,27015.52,26991.23,26979.508566204182,Buy,Buy,502,-169.85
2018-12-30,27267.8,27286.5,27105.0,27160.2,27087.86,27047.55,26918.359345918638,X,-,502,0
2018-12-31,27231.4,27430.55,27019.05,27392.4,27240.13,27162.50,26926.633048170348,X,-,502,0
2019-01-01,27297.0,27397.55,27077.6,27174.7,27207.42,27166.57,26929.618774225863,X,-,502,0
2019-01-02,27181.6,27206.2,26923.75,26959.85,27083.63,27097.66,27044.0275538734,Sell,Sell,503,-81.22
2019-01-03,26999.7,27274.5,26926.1,27195.0,27139.32,27130.11,27139.750888110342,Buy,Buy,504,-179.90
2019-01-06,27378.65,27477.8,27279.55,27304.55,27221.93,27188.26,27102.483518170935,X,-,504,0
2019-01-07,27301.9,27542.4,27161.95,27509.5,27365.72,27295.34,27087.22214182932,X,-,504,0
2019-01-08,27651.25,27754.45,27409.5,27720.4,27543.06,27437.02,27084.19799274388,X,-,504,0
2019-01-09,27713.55,27713.55,27488.2,27528.55,27535.80,27467.53,27118.923610924772,X,-,504,0
2019-01-10,27602.8,27612.45,27382.45,27453.9,27494.85,27462.99,27262.71988183094,X,-,504,0
2019-01-13,27389.2,27389.8,27182.2,27248.25,27371.55,27391.41,27367.398658494523,Sell,Sell,505,172.40
2019-01-14,27317.55,27447.55,27317.1,27400.75,27386.15,27394.52,27450.983474299966,X,-,505,0
2019-01-15,27405.65,27554.75,27403.05,27483.7,27434.93,27424.25,27419.639500518446,Buy,Buy,506,-171.39
2019-01-16,27568.6,27611.55,27335.15,27528.75,27481.84,27459.08,27392.21825917154,Buy,Sell,507,-91.48
2019-01-17,27550.05,27576.45,27410.65,27456.7,27469.27,27458.29,27390.81646886065,X,-,507,0
2019-01-20,27514.55,27622.2,27388.5,27533.6,27501.43,27483.39,27425.346460613582,Buy,Sell,508,-103.40
2019-01-21,27526.55,27533.35,27385.4,27482.25,27491.84,27483.01,27429.26538109564,Buy,Sell,509,-104.33
2019-01-22,27493.1,27564.7,27189.6,27250.75,27371.30,27405.59,27456.519124407045,Sell,Sell,510,-25.73
2019-01-23,27273.5,27342.35,27142.8,27266.4,27318.85,27359.19,27508.475518109684,X,-,510,0
2019-01-24,27261.45,27433.55,27045.2,27115.3,27217.07,27277.90,27480.23172965896,X,-,510,0
2019-01-27,27041.45,27134.2,26587.95,26653.05,26935.06,27069.61,27460.361845232226,X,-,510,0
2019-01-28,26616.25,26743.85,26441.55,26573.4,26754.23,26904.21,27473.26990955128,X,-,510,0
2019-01-29,26789.75,26916.25,26693.7,26825.5,26789.87,26877.97,27354.144279399086,X,-,510,0
2019-01-30,26969.15,27325.05,26891.05,27295.45,27042.66,27017.13,27142.295022781866,Buy,Buy,511,108.45
2019-01-31,27334.55,27533.05,26930.45,27085.95,27064.30,27040.07,26940.55443344581,Buy,Sell,512,-354.90
2019-02-03,26974.0,27243.8,26825.55,27186.6,27125.45,27088.91,26967.373498092828,Buy,Sell,513,-118.58
2019-02-04,27226.05,27348.25,27153.2,27271.7,27198.58,27149.84,26979.300936626372,X,-,513,0
2019-02-05,27326.2,27428.65,27294.1,27402.35,27300.46,27234.01,27003.64326003316,X,-,513,0
2019-02-06,27424.1,27589.75,27322.95,27387.15,27343.81,27285.06,27034.658491163238,X,-,513,0
2019-02-07,27302.65,27482.1,27221.25,27294.4,27319.10,27288.17,27108.81215301274,X,-,513,0
2019-02-10,27240.5,27305.9,27151.55,27227.8,27273.45,27268.05,27195.378014793794,Buy,Sell,514,8.78
2019-02-11,27166.9,27286.65,26988.9,27010.75,27142.10,27182.28,27251.836966255185,Sell,Sell,515,-60.90
2019-02-12,27068.85,27108.0,26839.05,26885.4,27013.75,27083.32,27302.825455699785,X,-,515,0
2019-02-13,26978.0,27030.0,26818.05,26970.6,26992.18,27045.75,27292.034042898013,X,-,515,0
2019-02-14,27017.2,27029.95,26635.25,26794.25,26893.21,26961.92,27206.464564814436,X,-,515,0
2019-02-17,26754.6,26829.95,26617.7,26654.25,26773.73,26859.36,27168.022311317516,X,-,515,0
2019-02-18,26666.55,26996.45,26625.6,26684.85,26729.29,26801.19,27116.246174932283,X,-,515,0
2019-02-19,26786.0,26985.5,26732.65,26955.5,26842.40,26852.63,27016.888100315162,X,-,515,0
2019-02-20,26994.75,27100.9,26973.0,27052.4,26947.40,26919.22,26883.32072539025,Buy,Buy,516,16.00
2019-02-21,26960.05,26997.35,26847.8,26867.55,26907.47,26902.00,26834.678146183593,X,-,516,0
2019-02-24,26934.2,27197.1,26932.65,27159.25,27033.36,26987.75,26885.559262084105,X,-,516,0
2019-02-25,26853.8,27127.25,26736.6,26952.95,26993.16,26976.15,26850.901423703588,Buy,Sell,517,-201.50
2019-02-26,27078.1,27189.45,26719.4,26799.3,26896.23,26917.20,26925.123573626188,Sell,Sell,518,-27.83
2019-02-27,26878.0,26920.5,26762.55,26789.9,26843.06,26874.77,26980.110361329353,X,-,518,0
2019-02-28,26941.0,27076.55,26928.9,27043.9,26943.48,26931.14,26969.87089700885,Buy,Buy,519,-170.57
2019-03-04,27068.15,27580.75,26958.1,27554.05,27248.77,27138.78,26894.129259400564,X,-,519,0
2019-03-05,27618.1,27681.65,27492.05,27625.65,27437.21,27301.07,26808.818836964376,X,-,519,0
2019-03-06,27661.0,27815.5,27560.0,27764.6,27600.90,27455.58,26892.65388999159,X,-,519,0
2019-03-07,27686.15,27811.35,27645.4,27761.8,27681.35,27557.65,27019.60659266873,X,-,519,0
2019-03-10,27840.1,28035.6,27791.25,27966.65,27824.00,27693.99,27186.556394782994,X,-,519,0
2019-03-11,28168.2,28488.1,28142.25,28443.7,28133.85,27943.89,27303.938596357257,X,-,519,0
2019-03-12,28480.3,28927.7,28353.65,28884.3,28509.08,28257.36,27374.0095641558,X,-,519,0
2019-03-13,29028.9,29070.35,28819.75,28923.1,28716.09,28479.27,27502.21495939602,X,-,519,0
2019-03-14,29007.0,29520.7,28990.85,29381.45,29048.77,28780.00,27768.83093124343,X,-,519,0
2019-03-17,29521.6,29812.0,29361.65,29596.1,29322.43,29052.03,27973.68943331865,X,-,519,0
2019-03-18,29702.6,29799.75,29547.7,29767.85,29545.14,29290.64,28240.827361790623,X,-,519,0
2019-03-19,29769.65,29885.2,29633.5,29832.2,29688.67,29471.16,28527.127110982838,X,-,519,0
2019-03-21,29920.75,30008.1,29508.7,29582.5,29635.59,29508.27,28818.622508883127,X,-,519,0
2019-03-24,29329.4,29329.4,29156.25,29281.2,29458.39,29432.58,29126.33389003604,X,-,519,0
2019-03-25,29300.4,29950.15,29278.5,29882.15,29670.27,29582.44,29355.148702080973,Buy,Sell,520,2256.50
2019-03-26,30034.15,30262.55,29790.25,30019.8,29845.04,29728.23,29318.937189082484,X,-,520,0
2019-03-27,30064.8,30496.05,29969.1,30420.55,30132.79,29959.00,29377.79381990258,X,-,520,0
2019-03-28,30480.35,30499.15,30235.9,30426.8,30279.80,30114.93,29437.622060192167,X,-,520,0
2019-03-31,30537.6,30648.1,30218.35,30326.5,30303.15,30185.46,29620.344463590038,X,-,520,0
2019-04-01,30450.1,30452.9,30155.85,30354.25,30328.70,30241.72,29832.377854124323,X,-,520,0
2019-04-02,30440.85,30602.55,30036.25,30093.3,30211.00,30192.25,29980.78434194834,X,-,520,0
2019-04-03,30147.3,30245.7,29809.9,29904.9,30057.95,30096.46,30135.989114231663,Sell,Sell,521,253.84
2019-04-04,30002.85,30174.0,29850.0,30084.65,30071.30,30092.53,30212.009185954157,X,-,521,0
2019-04-07,30201.5,30232.05,29716.6,29845.3,29958.30,30010.12,30156.20601220263,Sell,Buy,522,-296.60
2019-04-08,29901.5,30165.05,29703.55,30113.85,30036.07,30044.70,30165.570618918355,X,-,522,0
2019-04-09,29916.6,30155.75,29768.1,29803.5,29919.79,29964.30,30070.55538467053,Sell,Buy,523,-225.26
2019-04-10,29841.85,29852.25,29640.25,29786.1,29852.94,29904.90,30097.82440914285,X,-,523,0
2019-04-11,29780.55,30000.95,29707.0,29938.55,29895.75,29916.12,30060.760015776497,X,-,523,0
2019-04-14,29983.5,30163.1,29919.1,30104.25,30000.00,29978.83,29977.22021535829,Buy,Buy,524,-180.00
2019-04-15,30236.25,30590.95,30228.2,30531.35,30265.67,30163.00,29915.311912659177,X,-,524,0
2019-04-17,30656.5,30669.8,30142.2,30223.4,30244.54,30183.13,29854.982159649604,X,-,524,0
2019-04-21,30282.5,30289.9,29647.55,29687.95,29966.24,30018.07,29998.92521537149,Sell,Sell,525,-105.32
2019-04-22,29761.95,29906.5,29455.45,29479.7,29722.97,29838.62,30173.560364716875,X,-,525,0
2019-04-23,29550.5,29914.85,29435.05,29860.8,29791.89,29846.01,30185.545353712543,X,-,525,0
2019-04-24,29927.05,30057.7,29511.95,29561.35,29676.62,29751.12,30008.382791092357,Sell,Buy,526,-320.43
2019-04-25,29764.85,30048.2,29563.15,30013.5,29845.06,29838.58,29974.639805036888,Buy,Buy,527,-413.29
2019-04-29,29920.4,29920.4,29550.05,29764.8,29804.93,29813.99,29819.152175512267,Sell,Sell,528,-194.35
2019-05-01,29699.8,29919.35,29638.8,29708.6,29756.76,29778.86,29841.164269752015,Sell,Buy,529,-76.36
2019-05-02,29811.65,30121.75,29795.1,29954.15,29855.46,29837.29,29845.14092287328,Buy,Buy,530,-136.54
